Date,Price,Open,High,Low,Vol.,Change %,Date_m
09-11-17,94.35,94.85,94.86,94.31,22000,-0.44,43048.00
10-11-17,94.28,94.36,94.56,94.16,14600,-0.07,43049.00
13-11-17,94.39,94.36,94.55,94.31,10700,0.12,43052.00
14-11-17,93.72,94.41,94.44,93.64,27400,-0.71,43053.00
15-11-17,93.73,93.77,93.80,93.31,25200,0.01,43054.00
16-11-17,93.85,93.78,93.92,93.69,12100,0.13,43055.00
17-11-17,93.58,93.72,93.84,93.42,16900,-0.29,43056.00
20-11-17,94.00,93.73,94.02,93.48,19600,0.45,43059.00
21-11-17,93.88,93.94,94.08,93.80,11700,-0.13,43060.00
22-11-17,93.14,93.86,93.88,93.12,24800,-0.79,43061.00
23-11-17,93.14,93.19,93.21,93.00,9960,0,43062.00
24-11-17,92.71,93.11,93.17,92.61,17400,-0.46,43063.00
27-11-17,92.83,92.67,92.86,92.43,22700,0.13,43066.00
28-11-17,93.21,92.80,93.27,92.76,21700,0.41,43067.00
29-11-17,93.11,93.17,93.38,92.92,17700,-0.11,43068.00
30-11-17,93.00,93.20,93.47,92.68,27600,-0.12,43069.00
01-12-17,92.84,92.91,93.21,92.55,31100,-0.17,43070.00
04-12-17,93.14,93.04,93.34,93.00,30000,0.32,43073.00
05-12-17,93.33,93.02,93.44,93.00,18200,0.2,43074.00
06-12-17,93.58,93.31,93.62,93.14,21600,0.27,43075.00
07-12-17,93.77,93.56,93.78,93.50,14800,0.2,43076.00
08-12-17,93.87,93.80,94.08,93.78,19700,0.11,43077.00
11-12-17,93.84,93.86,93.95,93.65,26400,-0.03,43080.00
12-12-17,94.08,93.89,94.21,93.75,18700,0.26,43081.00
13-12-17,93.42,94.02,94.09,93.34,30800,-0.7,43082.00
14-12-17,93.48,93.38,93.77,93.28,29800,0.06,43083.00
15-12-17,93.93,93.57,94.00,93.41,8970,0.48,43084.00
18-12-17,93.52,94.00,94.02,93.58,540,-0.44,43087.00
19-12-17,93.03,93.25,93.31,93.02,14600,-0.52,43088.00
20-12-17,92.89,93.03,93.12,92.75,20100,-0.15,43089.00
21-12-17,92.86,92.92,93.09,92.81,12900,-0.03,43090.00
22-12-17,92.92,93.00,93.08,92.87,9380,0.06,43091.00
26-12-17,92.80,92.89,92.96,92.75,6310,-0.13,43095.00
27-12-17,92.61,92.83,92.86,92.53,16200,-0.2,43096.00
28-12-17,92.30,92.69,92.69,92.28,15400,-0.33,43097.00
29-12-17,91.83,92.36,92.38,91.81,21600,-0.51,43098.00
02-01-18,91.57,91.89,91.93,91.47,19600,-0.28,43102.00
03-01-18,91.90,91.56,91.99,91.53,17200,0.36,43103.00
04-01-18,91.58,91.97,92.00,91.52,15700,-0.35,43104.00
05-01-18,91.67,91.55,91.83,91.51,13700,0.1,43105.00
08-01-18,92.10,91.77,92.14,91.61,15900,0.47,43108.00
09-01-18,92.26,92.07,92.36,91.96,21500,0.17,43109.00
10-01-18,92.07,92.22,92.28,91.65,24500,-0.21,43110.00
11-01-18,91.61,92.07,92.31,91.53,22700,-0.5,43111.00
12-01-18,90.73,91.51,91.63,90.53,40500,-0.96,43112.00
