Date,Price,Open,High,Low,Vol.,Change %,Date_m
15-Mar-17,0.00625,0.00641,0.00641,0.00621,6.20M,-2.51,42809
16-Mar-17,0.00635,0.00625,0.00639,0.00592,30.93M,1.55,42810
17-Mar-17,0.00594,0.00635,0.00635,0.00561,15.59M,-6.41,42811
18-Mar-17,0.0067,0.00594,0.0085,0.00584,43.71M,12.81,42812
19-Mar-17,0.00682,0.0067,0.00722,0.00639,20.40M,1.81,42813
20-Mar-17,0.00703,0.00682,0.0071,0.00646,9.52M,3.01,42814
21-Mar-17,0.00685,0.00703,0.00704,0.00663,13.23M,-2.49,42815
22-Mar-17,0.00717,0.00685,0.00765,0.00674,23.20M,4.66,42816
23-Mar-17,0.01133,0.00717,0.01154,0.00717,62.56M,58.02,42817
24-Mar-17,0.0106,0.01133,0.01188,0.00912,100.76M,-6.44,42818
25-Mar-17,0.00888,0.0106,0.01105,0.00825,45.17M,-16.25,42819
26-Mar-17,0.00958,0.00888,0.0099,0.00888,18.97M,7.92,42820
27-Mar-17,0.00939,0.00958,0.0102,0.009,21.83M,-1.97,42821
28-Mar-17,0.00953,0.00939,0.00967,0.00909,10.96M,1.48,42822
29-Mar-17,0.01021,0.00953,0.01021,0.00941,10.39M,7.14,42823
30-Mar-17,0.01385,0.01021,0.015,0.01017,57.40M,35.65,42824
31-Mar-17,0.02128,0.01385,0.025,0.0133,140.06M,53.65,42825
01-Apr-17,0.0222,0.02128,0.0233,0.0198,57.84M,4.32,42826
02-Apr-17,0.06319,0.0222,0.07501,0.0217,294.61M,184.64,42827
03-Apr-17,0.032,0.06319,0.0639,0.025,200.76M,-49.36,42828
04-Apr-17,0.03798,0.032,0.0431,0.02727,105.01M,18.69,42829
05-Apr-17,0.03581,0.03798,0.04141,0.0339,71.46M,-5.71,42830
06-Apr-17,0.03323,0.03581,0.03745,0.02904,71.30M,-7.2,42831
07-Apr-17,0.03721,0.03323,0.03878,0.031,63.12M,11.98,42832
08-Apr-17,0.03629,0.03721,0.03749,0.02521,43.53M,-2.47,42833
09-Apr-17,0.03498,0.03629,0.03629,0.03277,24.00M,-3.61,42834
10-Apr-17,0.0344,0.03498,0.03634,0.0336,17.98M,-1.66,42835
11-Apr-17,0.0335,0.0344,0.0352,0.03237,17.27M,-2.62,42836
12-Apr-17,0.03505,0.0335,0.036,0.033,28.44M,4.63,42837
13-Apr-17,0.0349,0.03505,0.03603,0.034,26.90M,-0.43,42838
14-Apr-17,0.03484,0.0349,0.0358,0.03392,15.26M,-0.17,42839
15-Apr-17,0.03444,0.03484,0.03511,0.034,14.20M,-1.15,42840
16-Apr-17,0.03411,0.03444,0.03465,0.0338,10.09M,-0.96,42841
17-Apr-17,0.0347,0.03411,0.03501,0.03351,17.08M,1.73,42842
18-Apr-17,0.03471,0.0347,0.03564,0.03383,16.22M,0.03,42843
19-Apr-17,0.03105,0.03471,0.03473,0.0304,22.11M,-10.54,42844
20-Apr-17,0.03175,0.03105,0.03236,0.028,40.36M,2.25,42845
21-Apr-17,0.03531,0.03175,0.03673,0.031,61.88M,11.21,42846
22-Apr-17,0.03477,0.03531,0.03593,0.03325,21.37M,-1.53,42847
23-Apr-17,0.03475,0.03477,0.0349,0.03398,18.76M,-0.06,42848
24-Apr-17,0.03376,0.03475,0.03475,0.03331,13.10M,-2.85,42849
25-Apr-17,0.03504,0.03376,0.0367,0.03364,28.44M,3.79,42850
26-Apr-17,0.03582,0.03504,0.03656,0.03463,25.12M,2.23,42851
27-Apr-17,0.03806,0.03582,0.03921,0.03465,31.61M,6.25,42852
28-Apr-17,0.04784,0.03806,0.0486,0.0377,75.15M,25.7,42853
29-Apr-17,0.057,0.04784,0.06338,0.04774,87.47M,19.15,42854
30-Apr-17,0.055,0.057,0.06,0.053,40.34M,-3.51,42855
01-May-17,0.05941,0.055,0.0622,0.05321,48.85M,8.02,42856
02-May-17,0.058,0.05941,0.0601,0.05507,25.05M,-2.37,42857
03-May-17,0.06614,0.058,0.06724,0.0562,35.07M,14.03,42858
04-May-17,0.083,0.06614,0.0911,0.064,97.03M,25.49,42859
05-May-17,0.09353,0.083,0.11,0.078,100.40M,12.69,42860
06-May-17,0.1034,0.09353,0.108,0.09292,52.88M,10.55,42861
07-May-17,0.1449,0.1034,0.154,0.1,86.57M,40.14,42862
08-May-17,0.1964,0.1449,0.25,0.137,105.13M,35.54,42863
09-May-17,0.16,0.1964,0.2189,0.129,44.32M,-18.53,42864
10-May-17,0.1899,0.16,0.201,0.1532,31.32M,18.69,42865
11-May-17,0.1868,0.1899,0.1983,0.165,25.26M,-1.63,42866
12-May-17,0.2129,0.1868,0.2147,0.18,27.69M,13.97,42867
13-May-17,0.2188,0.2129,0.2288,0.198,18.29M,2.77,42868
14-May-17,0.2217,0.2188,0.228,0.2096,10.93M,1.33,42869
15-May-17,0.276,0.2217,0.276,0.221,28.60M,24.49,42870
16-May-17,0.3554,0.276,0.3554,0.27,51.06M,28.77,42871
17-May-17,0.392,0.3554,0.4345,0.31,49.08M,10.3,42872
18-May-17,0.368,0.392,0.41,0.32,28.97M,-6.12,42873
19-May-17,0.321,0.368,0.3685,0.2862,29.11M,-12.77,42874
20-May-17,0.3485,0.321,0.3697,0.295,24.04M,8.57,42875
21-May-17,0.326,0.3485,0.365,0.321,16.03M,-6.46,42876
