Date,Price,Open,High,Low,Vol.,Change %,Date_m
04-Nov-16,1303.30,1300.00,1300.00,1296.70,0.01K,0.09,42678
07-Nov-16,1278.30,1292.00,1294.50,1280.20,0.03K,-1.92,42681
08-Nov-16,1273.40,1284.10,1289.40,1273.20,0.05K,-0.38,42682
09-Nov-16,1272.60,1272.20,1318.60,1270.00,0.11K,-0.06,42683
10-Nov-16,1265.50,1274.40,1287.50,1253.30,0.06K,-0.56,42684
11-Nov-16,1223.50,1253.70,1258.70,1219.10,0.60K,-3.32,42685
14-Nov-16,1221.20,1227.80,1229.50,1210.40,0.22K,-0.19,42688
15-Nov-16,1224.00,1224.30,1226.00,1222.50,0.02K,0.23,42689
16-Nov-16,1223.40,1229.30,1229.30,1223.00,0.07K,-0.05,42690
17-Nov-16,1216.50,1224.60,1225.00,1211.00,1.14K,-0.56,42691
18-Nov-16,1208.50,1211.90,1211.90,1207.20,0.61K,-0.66,42692
20-Nov-16,1205.95,1207.50,1207.85,1205.00,0,-0.21,42694
21-Nov-16,1215.85,1205.95,1217.35,1205.95,0,0.82,42695
22-Nov-16,1211.00,1210.40,1211.10,1207.60,0.02K,-0.4,42696
23-Nov-16,1189.10,1212.80,1213.80,1186.80,0.31K,-1.81,42697
24-Nov-16,1185.55,1189.20,1190.30,1179.75,0,-0.3,42698
25-Nov-16,1178.20,1177.00,1189.30,1177.00,0.01K,-0.62,42699
28-Nov-16,1190.60,1188.00,1190.20,1188.00,0.02K,1.05,42702
29-Nov-16,1187.90,1193.20,1194.80,1179.40,42.12K,-0.23,42703
30-Nov-16,1170.80,1187.10,1193.30,1167.90,7.16K,-1.44,42704
01-Dec-16,1166.90,1172.70,1174.60,1160.00,1.59K,-0.33,42705
02-Dec-16,1175.10,1172.30,1177.30,1166.40,1.52K,0.7,42706
05-Dec-16,1174.00,1181.80,1186.70,1157.00,0.36K,-0.09,42709
06-Dec-16,1167.60,1170.90,1174.50,1167.10,0.65K,-0.55,42710
07-Dec-16,1175.00,1167.70,1178.50,1166.40,0.18K,0.63,42711
08-Dec-16,1169.80,1173.80,1177.80,1169.10,0.32K,-0.44,42712
09-Dec-16,1159.40,1166.60,1168.80,1156.00,0.37K,-0.89,42713
12-Dec-16,1163.50,1158.30,1163.90,1153.00,0.33K,0.35,42716
13-Dec-16,1156.70,1163.50,1164.00,1155.40,0.64K,-0.58,42717
14-Dec-16,1161.30,1159.80,1164.00,1142.00,0.49K,0.4,42718
15-Dec-16,1127.80,1139.80,1143.30,1123.90,0.24K,-2.88,42719
16-Dec-16,1135.30,1126.90,1140.90,1126.90,0.15K,0.67,42720
19-Dec-16,1140.50,1139.40,1140.70,1137.90,0.25K,0.46,42723
20-Dec-16,1131.50,1133.50,1133.50,1126.50,0.05K,-0.79,42724
21-Dec-16,1131.10,1136.10,1136.10,1130.00,0.05K,-0.04,42725
22-Dec-16,1128.80,1131.20,1132.80,1128.30,0.10K,-0.2,42726
23-Dec-16,1131.90,1130.90,1132.80,1130.30,0.07K,0.27,42727
25-Dec-16,1135.00,1135.00,1135.00,1135.00,0,0.27,42729
26-Dec-16,1134.55,1135.00,1136.05,1134.00,0,-0.04,42730
27-Dec-16,1137.30,1134.30,1142.20,1134.30,0.08K,0.24,42731
28-Dec-16,1139.40,1141.20,1141.20,1138.00,0.21K,0.18,42732
29-Dec-16,1156.40,1143.80,1158.80,1143.60,0.95K,1.49,42733
30-Dec-16,1150.00,1162.00,1162.00,1151.00,0.02K,-0.55,42734
02-Jan-17,1151.05,1151.00,1153.25,1150.00,0,0.09,42737
03-Jan-17,1160.40,1155.20,1160.80,1146.50,0.05K,0.81,42738
04-Jan-17,1163.80,1156.30,1165.00,1156.30,0.04K,0.29,42739
05-Jan-17,1179.70,1172.00,1183.30,1171.50,0.50K,1.37,42740
06-Jan-17,1171.90,1176.50,1176.50,1172.00,0.02K,-0.66,42741
09-Jan-17,1183.50,1173.90,1183.60,1173.00,0.06K,0.99,42744
10-Jan-17,1184.20,1184.30,1188.90,1182.30,0.01K,0.06,42745
11-Jan-17,1195.60,1187.50,1197.00,1176.50,0.02K,0.96,42746
12-Jan-17,1198.90,1192.70,1204.30,1192.30,0.11K,0.28,42747
13-Jan-17,1195.30,1195.70,1196.00,1187.70,0.07K,-0.3,42748
15-Jan-17,1203.35,1197.30,1205.05,1197.30,0,0.67,42750
16-Jan-17,1202.85,1203.25,1208.45,1200.00,0,-0.04,42751
17-Jan-17,1212.00,1205.50,1214.60,1200.80,0.08K,0.76,42752
18-Jan-17,1211.30,1213.60,1214.70,1203.10,0.11K,-0.06,42753
19-Jan-17,1200.90,1200.50,1204.00,1195.80,0.03K,-0.86,42754
20-Jan-17,1204.30,1202.80,1212.10,1202.80,0.04K,0.28,42755
23-Jan-17,1215.00,1212.00,1213.60,1210.00,0.02K,0.89,42758
24-Jan-17,1210.30,1219.00,1219.00,1207.70,0.02K,-0.39,42759
25-Jan-17,1197.30,1202.00,1202.80,1194.90,0.40K,-1.07,42760
26-Jan-17,1189.50,1199.70,1199.70,1185.60,0.02K,-0.65,42761
27-Jan-17,1188.10,1187.90,1188.30,1187.90,0.02K,-0.12,42762
30-Jan-17,1193.20,1191.70,1198.50,1187.10,50.50K,0.43,42765
31-Jan-17,1208.60,1194.90,1214.70,1193.50,3.21K,1.29,42766
01-Feb-17,1205.60,1211.90,1211.90,1197.90,1.15K,-0.25,42767
02-Feb-17,1216.70,1209.70,1224.20,1208.90,1.51K,0.92,42768
03-Feb-17,1218.50,1214.90,1220.60,1206.20,0.87K,0.15,42769
06-Feb-17,1230.00,1221.90,1235.40,1218.50,0.91K,0.94,42772
07-Feb-17,1234.20,1234.20,1236.20,1228.50,1.18K,0.34,42773
08-Feb-17,1237.60,1232.10,1243.90,1231.00,0.29K,0.28,42774
09-Feb-17,1235.10,1239.40,1243.50,1226.90,0.89K,-0.2,42775
10-Feb-17,1234.40,1227.60,1234.30,1221.50,0.39K,-0.06,42776
13-Feb-17,1224.40,1230.50,1231.10,1219.00,0.40K,-0.81,42779
14-Feb-17,1223.90,1225.90,1233.50,1222.10,0.16K,-0.04,42780
15-Feb-17,1231.70,1225.50,1231.50,1217.30,0.18K,0.64,42781
16-Feb-17,1240.00,1234.50,1240.70,1233.20,0.09K,0.67,42782
17-Feb-17,1237.60,1240.70,1241.20,1234.80,0.30K,-0.19,42783
19-Feb-17,1237.30,1236.00,1239.25,1236.00,0,-0.02,42785
20-Feb-17,1238.20,1237.25,1240.15,1233.50,0,0.07,42786
21-Feb-17,1237.50,1237.30,1237.30,1228.10,0.12K,-0.06,42787
22-Feb-17,1232.00,1236.10,1238.60,1231.80,0.04K,-0.44,42788
23-Feb-17,1250.20,1236.10,1250.30,1236.10,0.11K,1.48,42789
24-Feb-17,1256.90,1250.00,1258.80,1250.00,0.09K,0.54,42790
27-Feb-17,1257.40,1254.70,1263.10,1250.40,0.54K,0.04,42793
28-Feb-17,1252.60,1253.60,1257.30,1247.20,0.72K,-0.38,42794
01-Mar-17,1248.90,1247.80,1248.30,1236.90,0.14K,-0.3,42795
02-Mar-17,1231.90,1247.20,1247.60,1230.70,0.08K,-1.36,42796
03-Mar-17,1225.50,1231.70,1235.20,1222.90,0.12K,-0.52,42797
06-Mar-17,1224.50,1235.20,1235.20,1225.70,0.03K,-0.08,42800
07-Mar-17,1215.10,1224.30,1225.40,1213.70,0.05K,-0.77,42801
08-Mar-17,1208.50,1212.20,1212.20,1206.70,0.02K,-0.54,42802
09-Mar-17,1202.40,1204.50,1205.60,1202.30,0.04K,-0.5,42803
10-Mar-17,1200.70,1196.20,1203.30,1196.20,0.00K,-0.14,42804
13-Mar-17,1202.40,1206.20,1210.00,1202.30,0.04K,0.14,42807
14-Mar-17,1201.90,1203.10,1205.90,1196.80,0.02K,-0.04,42808
15-Mar-17,1203.80,1202.10,1225.00,1200.00,20.15K,0.16,42809
16-Mar-17,1230.20,1222.40,1236.90,1221.30,17.73K,2.19,42810
17-Mar-17,1233.20,1229.30,1234.40,1227.30,22.01K,0.24,42811
20-Mar-17,1237.20,1232.60,1238.30,1232.00,15.49K,0.32,42814
21-Mar-17,1249.60,1237.00,1250.90,1229.90,51.21K,1,42815
22-Mar-17,1252.80,1247.70,1254.60,1246.90,31.66K,0.26,42816
23-Mar-17,1250.10,1251.50,1256.40,1245.60,39.79K,-0.22,42817
24-Mar-17,1251.70,1248.20,1255.00,1243.70,51.11K,0.13,42818
27-Mar-17,1258.80,1247.20,1264.20,1247.20,70.83K,0.57,42821
28-Mar-17,1258.80,1257.10,1261.40,1250.50,111.01K,0,42822
29-Mar-17,1256.80,1253.00,1257.50,1250.00,166.69K,-0.16,42823
30-Mar-17,1248.00,1256.10,1256.50,1244.20,217.66K,-0.7,42824
31-Mar-17,1251.20,1244.60,1252.80,1241.50,165.21K,0.26,42825
03-Apr-17,1254.00,1251.90,1255.90,1246.40,142.20K,0.22,42828
04-Apr-17,1258.40,1255.50,1263.70,1255.50,158.36K,0.35,42829
05-Apr-17,1248.50,1258.20,1259.30,1245.40,236.74K,-0.79,42830
