Date_m,Date,Price,Open,High,Low,Vol.,Change %
42816,22-Mar-17,5821.64,5790.59,5825.67,5781.81,442.89M,0.48
42817,23-Mar-17,5817.69,5812.31,5842.82,5806.98,414.69M,-0.07
42818,24-Mar-17,5828.74,5839.33,5858.95,5807.83,456.99M,0.19
42821,27-Mar-17,5840.37,5776.33,5849.2,5769.39,410.07M,0.2
42822,28-Mar-17,5875.14,5836.5,5888.7,5828.86,437.23M,0.6
42823,29-Mar-17,5897.55,5875.35,5900.87,5870.93,397.14M,0.38
42824,30-Mar-17,5914.34,5896.15,5916.77,5894,396.49M,0.28
42825,31-Mar-17,5911.74,5905.63,5927.81,5901.77,529.14M,-0.04
42828,03-Apr-17,5894.68,5917.31,5928.93,5867.73,453.50M,-0.29
42829,04-Apr-17,5898.61,5878.76,5901.39,5878.76,445.39M,0.07
42830,05-Apr-17,5864.48,5911.92,5936.39,5856.26,555.35M,-0.58
42831,06-Apr-17,5878.95,5870.52,5889.58,5856.22,448.41M,0.25
42832,07-Apr-17,5877.81,5873.94,5892.07,5855.51,414.27M,-0.02
42835,10-Apr-17,5880.93,5883.43,5907.85,5865.56,389.31M,0.05
42836,11-Apr-17,5866.77,5871.16,5878.94,5819.29,449.36M,-0.24
42837,12-Apr-17,5836.16,5863.59,5868.09,5830.44,408.74M,-0.52
42838,13-Apr-17,5805.15,5828.37,5856.54,5805.15,384.04M,-0.53
42842,17-Apr-17,5856.79,5821.55,5856.79,5818.2,346.62M,0.89
42843,18-Apr-17,5849.47,5838.59,5860.04,5828.57,391.18M,-0.12
42844,19-Apr-17,5863.03,5874.43,5894.68,5856.34,415.53M,0.23
42845,20-Apr-17,5916.78,5887.87,5926.23,5880.19,417.89M,0.92
42846,21-Apr-17,5910.52,5919.02,5919.23,5899.43,454.58M,-0.11
42849,24-Apr-17,5983.82,5979.96,5989.92,5970.25,446.56M,1.24
42850,25-Apr-17,6025.49,6004.16,6036.02,6002.65,441.93M,0.7
42851,26-Apr-17,6025.23,6028.12,6040.89,6021.72,454.58M,0
42852,27-Apr-17,6048.94,6038.47,6050.7,6031.59,461.83M,0.39
42853,28-Apr-17,6047.61,6072.87,6074.04,6040.71,523.42M,-0.02
42856,01-May-17,6091.6,6067.56,6100.73,6061.35,416.34M,0.73
42857,02-May-17,6095.37,6102.51,6102.72,6081.56,498.62M,0.06
42858,03-May-17,6072.55,6075.04,6076.96,6053.28,498.86M,-0.37
42859,04-May-17,6075.34,6075.06,6080.82,6054.32,481.85M,0.05
42860,05-May-17,6100.76,6091.69,6100.76,6067.15,443.62M,0.42
42863,08-May-17,6102.66,6100.66,6106.12,6083.06,459.30M,0.03
42864,09-May-17,6120.59,6111.82,6133,6107.59,466.70M,0.29
42865,10-May-17,6129.14,6121.64,6131.64,6103.87,482.51M,0.14
42866,11-May-17,6115.96,6110.05,6120.2,6075.68,452.52M,-0.22
42867,12-May-17,6121.23,6119.27,6122.84,6105.42,412.46M,0.09
42870,15-May-17,6149.67,6128.11,6153.04,6124.79,452.00M,0.46
42871,16-May-17,6169.87,6160.52,6170.16,6139.1,460.05M,0.33
42872,17-May-17,6011.24,6108.62,6122.87,6009.48,565.78M,-2.57
42873,18-May-17,6055.13,5998.46,6073.45,5996.81,511.17M,0.73
42874,19-May-17,6083.7,6070.23,6106.55,6070.23,517.15M,0.47
42877,22-May-17,6133.62,6098.25,6135.92,6097.24,421.95M,0.82
42878,23-May-17,6138.71,6149.55,6150.91,6121.79,407.73M,0.08
42879,24-May-17,6163.02,6154.18,6166.09,6139.33,400.25M,0.4
42880,25-May-17,6205.26,6183.02,6217.34,6174.52,417.08M,0.69
42881,26-May-17,6210.19,6207.04,6211.52,6196.66,373.96M,0.08
42885,30-May-17,6203.19,6204.18,6217.13,6200.41,402.25M,-0.11
42886,31-May-17,6198.52,6221.62,6221.99,6164.07,697.15M,-0.08
42887,01-Jun-17,6246.83,6215.91,6247.07,6200.45,502.29M,0.78
42888,02-Jun-17,6305.8,6261.59,6308.76,6253.77,454.57M,0.94
42891,05-Jun-17,6295.68,6305.47,6310.61,6292.15,398.25M,-0.16
42892,06-Jun-17,6275.06,6281.88,6304.21,6269.86,430.50M,-0.33
42893,07-Jun-17,6297.38,6290.44,6302.78,6267.18,432.54M,0.36
42894,08-Jun-17,6321.76,6311.73,6324.06,6282.93,484.13M,0.39
42895,09-Jun-17,6207.92,6330.25,6341.7,6137.68,670.48M,-1.8
42898,12-Jun-17,6175.47,6153.56,6183.81,6110.66,604.27M,-0.52
42899,13-Jun-17,6220.37,6206.11,6226.41,6180.04,525.01M,0.73
42900,14-Jun-17,6194.89,6237.46,6237.53,6153.55,457.03M,-0.41
42901,15-Jun-17,6165.5,6127.05,6170.15,6107.85,436.59M,-0.47
42902,16-Jun-17,6151.76,6154.28,6161.56,6125.5,1.31B,-0.22
42905,19-Jun-17,6239.01,6196.85,6243.31,6194,447.66M,1.42
42906,20-Jun-17,6188.03,6229.62,6234.01,6186.94,488.69M,-0.82
42907,21-Jun-17,6233.95,6202.75,6236.66,6200.86,491.84M,0.74
42908,22-Jun-17,6236.69,6239.15,6257.68,6221.96,471.36M,0.04
42909,23-Jun-17,6265.25,6234.35,6269.37,6218.78,1.46B,0.46
42912,26-Jun-17,6247.15,6292.73,6303.44,6233.43,455.73M,-0.29
42913,27-Jun-17,6146.62,6227.9,6234.32,6146.62,490.36M,-1.61
42914,28-Jun-17,6234.41,6173.1,6238.29,6144.8,461.44M,1.43
42915,29-Jun-17,6144.35,6215.49,6216.6,6087.81,528.05M,-1.44
42916,30-Jun-17,6140.42,6166.84,6170.63,6129.04,501.47M,-0.06
42919,03-Jul-17,6110.06,6173.29,6177.36,6106.12,272.19M,-0.49
42921,05-Jul-17,6150.85,6122.06,6163.62,6100.42,462.92M,0.67
42922,06-Jul-17,6089.46,6109.6,6127.98,6081.96,514.78M,-1
42923,07-Jul-17,6153.08,6111.21,6164.94,6111.21,397.25M,1.04
42926,10-Jul-17,6176.39,6156.03,6191.27,6141.83,409.75M,0.38
42927,11-Jul-17,6193.31,6171.25,6200.58,6149.87,426.66M,0.27
42928,12-Jul-17,6261.17,6238.9,6265.64,6236.82,424.25M,1.1
42929,13-Jul-17,6274.44,6269.1,6281.45,6251.26,423.33M,0.21
42930,14-Jul-17,6312.47,6289.08,6321.76,6278.7,364.80M,0.61
42933,17-Jul-17,6314.43,6320.35,6330.97,6307.34,367.32M,0.03
42934,18-Jul-17,6344.31,6304.82,6344.55,6291.07,388.97M,0.47
42935,19-Jul-17,6385.04,6363.24,6387.73,6362.19,423.94M,0.64
42936,20-Jul-17,6390,6396.46,6398.26,6365.68,414.71M,0.08
42937,21-Jul-17,6387.75,6383.05,6388.78,6365.11,468.14M,-0.04
42940,24-Jul-17,6410.81,6387.82,6417.7,6380.61,418.95M,0.36
42941,25-Jul-17,6412.17,6407.59,6425.45,6396.87,479.54M,0.02
42942,26-Jul-17,6422.75,6425.93,6432.38,6416.3,433.53M,0.16
42943,27-Jul-17,6382.19,6459.76,6460.84,6318.62,564.93M,-0.63
42944,28-Jul-17,6374.68,6350.27,6379.7,6337.23,436.77M,-0.12
42947,31-Jul-17,6348.12,6394.69,6396.59,6338.78,485.92M,-0.42
42948,01-Aug-17,6362.94,6372.16,6375.75,6345.75,426.55M,0.23
42949,02-Aug-17,6362.65,6393.1,6394.21,6313.43,490.37M,0
42950,03-Aug-17,6340.34,6366.24,6368.53,6331.14,476.05M,-0.35
42951,04-Aug-17,6351.56,6350.79,6361.49,6329.73,443.76M,0.18
42954,07-Aug-17,6383.77,6361.06,6386.03,6356.23,408.69M,0.51
42955,08-Aug-17,6370.46,6373.33,6423.35,6355.88,445.32M,-0.21
42956,09-Aug-17,6352.33,6322.92,6355.04,6309.44,469.74M,-0.28
42957,10-Aug-17,6216.87,6312.65,6318.28,6214.41,495.54M,-2.13
42958,11-Aug-17,6256.56,6222.18,6266.89,6216.19,418.07M,0.64
42961,14-Aug-17,6340.23,6306.11,6346.82,6305.55,410.78M,1.34
42962,15-Aug-17,6333.01,6350.51,6350.74,6324.75,368.07M,-0.11
42963,16-Aug-17,6345.11,6348.11,6374.56,6330.27,396.20M,0.19
42964,17-Aug-17,6221.91,6322.72,6334.23,6221.91,435.27M,-1.94
42965,18-Aug-17,6216.53,6222.46,6254.22,6193.38,469.44M,-0.09
42968,21-Aug-17,6213.13,6216.32,6226.93,6177.19,375.22M,-0.05
42969,22-Aug-17,6297.48,6241.21,6302.84,6241.21,363.16M,1.36
42970,23-Aug-17,6278.41,6263.47,6291.3,6263.28,349.56M,-0.3
42971,24-Aug-17,6271.33,6294.82,6302.85,6244.57,369.11M,-0.11
42972,25-Aug-17,6265.64,6293.81,6308.72,6257.1,343.10M,-0.09
42975,28-Aug-17,6283.02,6286.01,6292.26,6267.85,384.99M,0.28
42976,29-Aug-17,6301.89,6228.9,6311.26,6228.73,379.62M,0.3
42977,30-Aug-17,6368.31,6308.68,6374.48,6303.57,384.51M,1.05
42978,31-Aug-17,6428.66,6385.8,6435.27,6383.58,478.19M,0.95
42979,01-Sep-17,6435.33,6442.17,6449.65,6417.87,347.64M,0.1
42983,05-Sep-17,6375.57,6414.82,6426.51,6334.59,438.96M,-0.93
42984,06-Sep-17,6393.31,6394.35,6407.4,6356.2,419.28M,0.28
42985,07-Sep-17,6397.87,6402.94,6413.07,6379.81,433.05M,0.07
42986,08-Sep-17,6360.19,6389.65,6391.41,6354.96,408.11M,-0.59
42989,11-Sep-17,6432.26,6411.18,6439.11,6410.71,431.57M,1.13
42990,12-Sep-17,6454.28,6448.81,6455.02,6429.54,404.69M,0.34
42991,13-Sep-17,6460.19,6440.72,6460.42,6433.2,447.20M,0.09
42992,14-Sep-17,6429.08,6439.46,6455.32,6424.04,430.37M,-0.48
42993,15-Sep-17,6448.47,6426.16,6464.27,6419.65,1.19B,0.3
42996,18-Sep-17,6454.64,6460.1,6477.77,6438.41,445.50M,0.1
42997,19-Sep-17,6461.32,6465.57,6467.79,6446.75,430.73M,0.1
42998,20-Sep-17,6456.04,6459.74,6466.05,6414.23,470.40M,-0.08
42999,21-Sep-17,6422.69,6448.57,6448.57,6405.3,400.64M,-0.52
